Class	ComGar.WGBS	ComGar.RRBS	HybZon.RRBS	Count	All CpGs	Sequenced In At Least 2 Experiments	Passes Necessary Condition	No Conflicted DMP	Passes Sufficient Condition
Unclassified	Conserved	MISSING	MISSING	335017	1	0	0	0	0
Unclassified	MISSING	Age	MISSING	768	1	0	0	0	0
Unclassified	MISSING	Conserved	MISSING	140400	1	0	0	0	0
Unclassified	MISSING	MISSING	Conserved	173326	1	0	0	0	0
Unclassified	MISSING	MISSING	Distance	25	1	0	0	0	0
Unclassified	MISSING	MISSING	Taxon	24	1	0	0	0	0
Unclassified	MISSING	MISSING	Temperature	33	1	0	0	0	0
Unclassified	MISSING	MISSING	Unknown	167987	1	0	0	0	0
Unclassified	MISSING	Sex	MISSING	181	1	0	0	0	0
Unclassified	MISSING	Taxon	MISSING	232	1	0	0	0	0
Unclassified	MISSING	Unknown	MISSING	140933	1	0	0	0	0
Unclassified	Sex	MISSING	MISSING	21378	1	0	0	0	0
Unclassified	Taxon	MISSING	MISSING	25553	1	0	0	0	0
Unclassified	Tissue	MISSING	MISSING	619643	1	0	0	0	0
Unclassified	Unknown	MISSING	MISSING	2776366	1	0	0	0	0
Conserved	Conserved	Conserved	Conserved	26063	1	1	0	0	0
Conserved	Conserved	Conserved	MISSING	23101	1	1	0	0	0
Conserved	Conserved	Conserved	Unknown	1310	1	1	0	0	0
Unclassified	Conserved	MISSING	Conserved	30193	1	1	0	0	0
Unclassified	Conserved	MISSING	Unknown	3538	1	1	0	0	0
Unclassified	Conserved	Unknown	Conserved	2628	1	1	0	0	0
Unclassified	Conserved	Unknown	MISSING	9774	1	1	0	0	0
Unclassified	Conserved	Unknown	Unknown	770	1	1	0	0	0
Unclassified	MISSING	Conserved	Conserved	107516	1	1	0	0	0
Unclassified	MISSING	Conserved	Unknown	8180	1	1	0	0	0
Unclassified	MISSING	Unknown	Conserved	17469	1	1	0	0	0
Unclassified	MISSING	Unknown	Unknown	54964	1	1	0	0	0
Unclassified	Unknown	Conserved	Conserved	14848	1	1	0	0	0
Unclassified	Unknown	Conserved	MISSING	14403	1	1	0	0	0
Unclassified	Unknown	Conserved	Unknown	1717	1	1	0	0	0
Unclassified	Unknown	MISSING	Conserved	25582	1	1	0	0	0
Unclassified	Unknown	MISSING	Unknown	94965	1	1	0	0	0
Unclassified	Unknown	Unknown	Conserved	6245	1	1	0	0	0
Unclassified	Unknown	Unknown	MISSING	57398	1	1	0	0	0
Unclassified	Unknown	Unknown	Unknown	37779	1	1	0	0	0
Unclassified	MISSING	Age	Distance	1	1	1	1	0	0
Unclassified	MISSING	Age	Temperature	1	1	1	1	0	0
Unclassified	Sex	Age	MISSING	2	1	1	1	0	0
Unclassified	Sex	Age	Unknown	2	1	1	1	0	0
Unclassified	Sex	MISSING	Distance	1	1	1	1	0	0
Unclassified	Sex	Taxon	MISSING	1	1	1	1	0	0
Unclassified	Sex	Taxon	Unknown	2	1	1	1	0	0
Unclassified	Taxon	Age	MISSING	1	1	1	1	0	0
Unclassified	Taxon	Sex	MISSING	3	1	1	1	0	0
Unclassified	Taxon	Sex	Unknown	3	1	1	1	0	0
Unclassified	Tissue	Age	Distance	1	1	1	1	0	0
