ID	Retained	Temperature	Precipitation	Year	Latitude	Longitude	Species	Genotype	Hybrid_Index	Chr18_Hybrid_Index	Age_Days	Distance	DiscreteHI	DiscreteDistance
D_Ko_C22	1	8.4	152.5	2014	47.676	9.198	C.corone	C.Corone	0	0	14.7904042	-2.11712763465197	<_25%	Southwest_Germany
D_Ko_C40	1	8.5	155.7	2014	47.676	9.198	C.corone	C.Corone	0	0	18.546418	-2.11712763465197	<_25%	Southwest_Germany
D_Ko_C42	1	8.5	155.7	2014	47.676	9.198	C.corone	C.Corone	0	0	15.13186	-2.11712763465197	<_25%	Southwest_Germany
H_Ba_H02	1	6.3	120.2	2008	52.497	12.402	Hybrid	LLdl	0.574193	1	11.263	-0.21226418784674	>_75%	Eastern_Germany
H_Ba_H09	1	7.4	115.8	2008	52.497	12.402	Hybrid	LLll	0.5466904	0.9940465	22.381	-0.21226418784674	>_75%	Eastern_Germany
H_Ba_H19	1	7.4	115.8	2008	52.497	12.402	Hybrid	DLll	0.4055915	0.4246696	17.281	-0.21226418784674	25_to_75%	Eastern_Germany
H_Ba_H21	1	7.4	115.8	2008	52.497	12.402	Hybrid	LLdl	0.5258975	0.977789	19.474	-0.21226418784674	>_75%	Eastern_Germany
H_Hi_C03	1	8.8	77.7	2014	50.97	13.124	Hybrid	DDdl	0.4279232	0	23.4406178	-0.306474257130222	<_25%	Eastern_Germany
H_Ku_H02	1	6.4	120.2	2008	52.493	12.45	Hybrid	LLll	0.7063256	0.9947238	19.576	-0.198994668817498	>_75%	Eastern_Germany
H_Lo_C19	1	7	119.5	2014	50.859	12.762	Hybrid	DDdd	0.2260644	0	24.5788038	-0.434824136907748	<_25%	Eastern_Germany
H_Lo_C20	1	7	119.5	2014	50.859	12.762	Hybrid	DDdl	0.3307552	0.0409099	22.3024318	-0.434824136907748	<_25%	Eastern_Germany
H_Ne_Y03	1	4.2	141.6	2013	51.271	14.327	Hybrid	LLdl	0.4295311	0.9903235	20.9366086	0.106463174478785	>_75%	Eastern_Germany
H_Ne_Y14	1	4.3	141.2	2013	51.271	14.327	Hybrid	DLll	0.6457692	0.5149768	13.966	0.106463174478785	25_to_75%	Eastern_Germany
H_Ne_Y36	1	4.6	141.2	2013	51.271	14.327	Hybrid	LLdl	0.6105241	1	16.270046	0.106463174478785	>_75%	Eastern_Germany
H_Ne_Y42	1	4.6	141.2	2013	51.271	14.327	Hybrid	DLll	0.5530574	0.4539496	21.2780644	0.106463174478785	25_to_75%	Eastern_Germany
H_Rb_Y15	1	5.1	89.8	2013	51.213	13.724	Hybrid	DLdl	0.4707096	0.4982274	20.7089714	-0.0819175620870755	25_to_75%	Eastern_Germany
S_Up_H77	1	4.1	103.1	2014	59.858	17.643	C.cornix	C.cornix	1	1	23.3267992	2.79848561448406	>_75%	Sweden
S_Up_H80	1	4.1	103.1	2014	59.858	17.643	C.cornix	C.cornix	1	1	27.1966316	2.79848561448406	>_75%	Sweden
S_Up_H81	1	4.1	103.1	2014	59.858	17.643	C.cornix	C.cornix	1	1	23.099162	2.79848561448406	>_75%	Sweden
