Sample	Positions	Cs	Ts	Methylated	Coverage	Read	Experiment
D_Ba_H02_BL_CHK_M	1	5711664	4839223	54.13	10550887	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	2	5827	6461	47.42	12288	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	3	2687	3500	43.43	6187	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	4	290245	471738	38.09	761983	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	5	215041	307042	41.19	522083	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	6	227179	396705	36.41	623884	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	7	334878	535867	38.46	870745	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	8	258110	401905	39.11	660015	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	9	285932	439756	39.4	725688	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	10	289368	459583	38.64	748951	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	11	383225	518314	42.51	901539	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	12	294028	445208	39.77	739236	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	13	299420	448309	40.04	747729	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	14	272920	403750	40.33	676670	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	15	270455	449999	37.54	720454	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	16	271214	419528	39.26	690742	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	17	278060	423085	39.66	701145	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	18	270001	428069	38.68	698070	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	19	293571	438712	40.09	732283	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	20	218412	420139	34.2	638551	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	21	286227	438674	39.48	724901	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	22	244687	432186	36.15	676873	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	23	268403	424850	38.72	693253	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	24	238931	427829	35.83	666760	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	25	269664	424638	38.84	694302	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	26	230391	418724	35.49	649115	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	27	234485	407873	36.5	642358	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	28	269586	407166	39.84	676752	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	29	232451	406159	36.4	638610	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	30	239816	413955	36.68	653771	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	31	326418	441075	42.53	767493	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	32	245496	409664	37.47	655160	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	33	247732	412405	37.53	660137	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	34	258713	421107	38.06	679820	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	35	248944	399754	38.38	648698	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	36	232231	409394	36.19	641625	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	37	241091	446687	35.05	687778	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	38	271373	415353	39.52	686726	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	39	274212	430965	38.89	705177	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	40	239759	428674	35.87	668433	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	41	298758	484190	38.16	782948	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	42	262861	420591	38.46	683452	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	43	262398	449558	36.86	711956	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	44	242505	405902	37.4	648407	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	45	209208	399105	34.39	608313	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	46	199069	398479	33.31	597548	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	47	211543	397995	34.71	609538	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	48	209078	420779	33.19	629857	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	49	236670	404845	36.89	641515	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	50	222315	397737	35.85	620052	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	51	262459	424568	38.2	687027	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	52	247025	396625	38.38	643650	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	53	212703	399024	34.77	611727	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	54	226942	385233	37.07	612175	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	55	188870	391628	32.54	580498	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	56	239234	408796	36.92	648030	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	57	229728	401874	36.37	631602	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	58	244988	401518	37.89	646506	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	59	291581	421273	40.9	712854	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	60	229370	384725	37.35	614095	R1	Hyb.Zo.RRBS
D_Ba_H02_BL_CHK_M	61	255411	418599	37.89	674010	R1	Hyb.Zo.RRBS
