ID	Short_ID	Experiment	Species	Sex	Stage	Tissue	Mean_Coverage	Hybrid_Index	Chr18_Hybrid_Index	Capture_Year	Latitude	Longitude
D_Ko_C29_BL_ADL_F	D_Ko_C29_BL_ADL_F	CG	C.corone	Female	Mature	Blood	22.2	0	0	2014	47.676	9.198
D_Ko_C29_BL_CHK_F	D_Ko_C29_BL_CHK_F	CG	C.corone	Female	Chick	Blood	15.84	0	0	2014	47.676	9.198
D_Ko_C29_BL_YRL_F	D_Ko_C29_BL_YRL_F	CG	C.corone	Female	Immature	Blood	16.15	0	0	2014	47.676	9.198
D_Ko_C31_BL_ADL_M	D_Ko_C31_BL_ADL_M	CG	C.corone	Male	Mature	Blood	23.29	0	0	2014	47.676	9.198
D_Ko_C31_BL_CHK_M	D_Ko_C31_BL_CHK_M	CG	C.corone	Male	Chick	Blood	22.75	0	0	2014	47.676	9.198
D_Ko_C31_BL_YRL_M	D_Ko_C31_BL_YRL_M	CG	C.corone	Male	Immature	Blood	19.8	0	0	2014	47.676	9.198
D_Ko_C36_BL_ADL_M	D_Ko_C36_BL_ADL_M	CG	C.corone	Male	Mature	Blood	22.92	0	0	2014	47.676	9.198
D_Ko_C36_BL_CHK_M	D_Ko_C36_BL_CHK_M	CG	C.corone	Male	Chick	Blood	17.4	0	0	2014	47.676	9.198
D_Ko_C36_BL_YRL_M	D_Ko_C36_BL_YRL_M	CG	C.corone	Male	Immature	Blood	23.68	0	0	2014	47.676	9.198
D_Ko_C45_BL_ADL_F	D_Ko_C45_BL_ADL_F	CG	C.corone	Female	Mature	Blood	21.67	0	0	2014	47.676	9.198
D_Ko_C45_BL_CHK_F	D_Ko_C45_BL_CHK_F	CG	C.corone	Female	Chick	Blood	16.93	0	0	2014	47.676	9.198
D_Ko_C45_BL_YRL_F	D_Ko_C45_BL_YRL_F	CG	C.corone	Female	Immature	Blood	16.7	0	0	2014	47.676	9.198
S_Up_H59_BL_ADL_M	S_Up_H59_BL_ADL_M	CG	C.cornix	Male	Mature	Blood	15.62	1	1	2014	59.858	17.643
S_Up_H59_BL_CHK_M	S_Up_H59_BL_CHK_M	CG	C.cornix	Male	Chick	Blood	11.86	1	1	2014	59.858	17.643
S_Up_H59_BL_YRL_M	S_Up_H59_BL_YRL_M	CG	C.cornix	Male	Immature	Blood	13.71	1	1	2014	59.858	17.643
S_Up_H60_BL_ADL_F	S_Up_H60_BL_ADL_F	CG	C.cornix	Female	Mature	Blood	25.65	1	1	2014	59.858	17.643
