Experiment	Variable	Focal_Region	LowerBound	UpperBound	Signif
HyZo.RRBS	Dxy	Focal	0.0981373128541959	0.439272642519949	n.s.
HyZo.RRBS	Dxy	Undiverged	-0.110784898413272	0.241655389064677	n.s.
HyZo.RRBS	FST	Focal	-0.058143603965876	0.303047594891709	n.s.
HyZo.RRBS	FST	Undiverged	-0.185131202121371	0.176388686081589	n.s.
HyZo.RRBS	FuLiD	Focal	-0.0354467300957231	0.318721513585675	n.s.
HyZo.RRBS	FuLiD	Undiverged	-0.1400471105117	0.223268131464335	n.s.
HyZo.RRBS	HapD	Focal	0.0725783534787565	0.371995715932035	n.s.
HyZo.RRBS	HapD	Undiverged	-0.130401652655396	0.227786612084301	n.s.
HyZo.RRBS	TajimaD	Focal	-0.078503484119633	0.286049995568563	n.s.
HyZo.RRBS	TajimaD	Undiverged	-0.159184332299954	0.198725953191194	n.s.
CoGa.RRBS	Dxy	Focal	0.0881967969603954	0.466836978039742	n.s.
CoGa.RRBS	Dxy	Undiverged	-0.0822708949520552	0.28554815658993	n.s.
CoGa.RRBS	FST	Focal	-0.0311349291653652	0.353407643412207	n.s.
CoGa.RRBS	FST	Undiverged	-0.207464311354918	0.161469115597131	n.s.
CoGa.RRBS	FuLiD	Focal	-0.0629955564566397	0.30437389766576	n.s.
CoGa.RRBS	FuLiD	Undiverged	-0.126610618149169	0.25896687362876	n.s.
CoGa.RRBS	HapD	Focal	0.0442654609259156	0.402216970005033	n.s.
CoGa.RRBS	HapD	Undiverged	-0.125994281270466	0.275796316486196	n.s.
CoGa.RRBS	TajimaD	Focal	0.00750522476090208	0.373328248151009	n.s.
CoGa.RRBS	TajimaD	Undiverged	-0.136515654157164	0.225256583039602	n.s.
CoGa.WGBS	Dxy	Focal	0.178048885300443	0.332936965778778	*
CoGa.WGBS	Dxy	Undiverged	0.00232766423256215	0.172974466572005	*
CoGa.WGBS	FST	Focal	0.0343511029658622	0.211569836293211	n.s.
CoGa.WGBS	FST	Undiverged	-0.0792213261448876	0.0856036993840684	n.s.
CoGa.WGBS	FuLiD	Focal	0.157953132427005	0.328089513954342	*
CoGa.WGBS	FuLiD	Undiverged	-0.0685191563127068	0.112253660274452	*
CoGa.WGBS	HapD	Focal	0.148656966413372	0.308223556670956	n.s.
CoGa.WGBS	HapD	Undiverged	-0.0108302924831454	0.154017459992016	n.s.
CoGa.WGBS	TajimaD	Focal	0.155868780700027	0.312561955741057	*
CoGa.WGBS	TajimaD	Undiverged	-0.0619988409169118	0.111044066542207	*
