term	GC	FST	Relativepos	Length	HapD	FuLiD	TajimaD	Dxy	experiment
GC	NA	NA	NA	NA	NA	NA	NA	NA	HZ
FST	-0.0155022740197102	NA	NA	NA	NA	NA	NA	NA	HZ
Relativepos	0.0248109400792639	0.0546424128872908	NA	NA	NA	NA	NA	NA	HZ
Length	0.0263963516927679	-0.0232830914027082	-0.0364267856837272	NA	NA	NA	NA	NA	HZ
HapD	-0.26172697248728	-0.0505742024176389	-0.0808163669644891	0.039033037449094	NA	NA	NA	NA	HZ
FuLiD	0.043623398642132	0.00311491918334267	0.0426679631222503	-0.0242228888175822	0.00900621501029549	NA	NA	NA	HZ
TajimaD	0.0444966964921362	0.0598605355786262	0.047094078030119	-0.00320926370035153	-0.00331487925955151	0.617500419423062	NA	NA	HZ
Dxy	-0.19080396763197	-0.0526897554446914	0.020943405871341	0.0197196810145159	0.382099096607797	0.348347450945224	0.414583528631921	NA	HZ
GC	NA	NA	NA	NA	NA	NA	NA	NA	CG
FST	0.000293050213911419	NA	NA	NA	NA	NA	NA	NA	CG
Length	0.00905657480700254	-0.0195253997795249	NA	NA	NA	NA	NA	NA	CG
Relativepos	0.0246134131912284	0.0518447899817279	NA	-0.0366121084619536	NA	NA	NA	NA	CG
HapD	-0.244295384170029	-0.0504478688287655	-0.0666733130691329	0.0554406559679258	NA	NA	NA	NA	CG
FuLiD	0.0494711520777997	-0.00405357791897295	0.0433244022956113	-0.040493670679569	-0.00330056958496763	NA	NA	NA	CG
TajimaD	0.0459485031384127	0.0544960858071062	0.0479875478275663	-0.0208747329871535	-0.00954622070032092	0.61539190594344	NA	NA	CG
Dxy	-0.188513077378971	-0.0616308297142879	0.0248511922197999	0.0105485611819328	0.391044760874486	0.343342114532463	0.41319491988922	NA	CG
Relativepos	NA	NA	NA	NA	NA	NA	NA	NA	WGBS
FST	NA	NA	0.0205821821155767	NA	NA	NA	NA	NA	WGBS
GC	NA	-0.00467464175081501	0.00549327242720244	NA	NA	NA	NA	NA	WGBS
Length	-0.267444955587074	-0.0365264745448475	-0.00817750610828689	NA	NA	NA	NA	NA	WGBS
HapD	-0.191660022759161	-0.086723135913765	-0.0412271291937291	0.0871391214725424	NA	NA	NA	NA	WGBS
FuLiD	0.107191102253435	0.0172298911672403	0.00643987315702725	-0.0178228218177776	0.0929451003395398	NA	NA	NA	WGBS
TajimaD	0.0731161438253735	0.0683122272148775	0.0197655199035662	-0.0182246379234707	0.0670844445467983	0.595789954032672	NA	NA	WGBS
Dxy	-0.0225441835493392	-0.0382069884654172	-0.00234024503398001	0.0764062818449598	0.376011227234094	0.396624226304517	0.534601160794102	NA	WGBS
