Focal_Region	Boots	Experiment	Variable
Focal	0.166253060008611	CG	HapD
Undiverged	0.0341565725609374	CG	HapD
Focal	0.151527335742203	CG	HapD
Undiverged	0.0630198848758904	CG	HapD
Focal	0.256330348672201	CG	HapD
Undiverged	0.0140274286639312	CG	HapD
Focal	0.240358114369474	CG	HapD
Undiverged	0.0593423369963188	CG	HapD
Focal	0.111360333486529	CG	HapD
Undiverged	0.053446216355827	CG	HapD
Focal	0.219050067224407	CG	HapD
Undiverged	-0.04914518396088	CG	HapD
Focal	0.268519097568156	CG	HapD
Undiverged	0.193525145590657	CG	HapD
Focal	0.117926501434	CG	HapD
Undiverged	0.117780644014538	CG	HapD
Focal	0.301596368504854	CG	HapD
Undiverged	0.168279491016995	CG	HapD
Focal	0.0152876416019844	CG	HapD
Undiverged	-0.0536887706664317	CG	HapD
Focal	0.214692494413468	CG	HapD
Undiverged	0.069631984855477	CG	HapD
Focal	0.0796925398857125	CG	HapD
Undiverged	0.138108917476632	CG	HapD
Focal	0.173631426941079	CG	HapD
Undiverged	0.0361859346370777	CG	HapD
Focal	0.254537726930296	CG	HapD
Undiverged	-0.110658312120889	CG	HapD
Focal	0.16534120794903	CG	HapD
Undiverged	0.0256263369589257	CG	HapD
Focal	0.269097342095359	CG	HapD
Undiverged	0.100837377392447	CG	HapD
Focal	0.167983821599432	CG	HapD
Undiverged	0.10588473300067	CG	HapD
Focal	0.115937220679599	CG	HapD
Undiverged	-0.00162828457821964	CG	HapD
Focal	0.19200951349793	CG	HapD
Undiverged	-0.0477538761277396	CG	HapD
Focal	0.365814008740775	CG	HapD
Undiverged	0.0669843077550862	CG	HapD
Focal	0.0985915879960532	CG	HapD
Undiverged	0.0845815271158449	CG	HapD
Focal	0.163773837243274	CG	HapD
Undiverged	0.124031491891964	CG	HapD
Focal	0.413013104073821	CG	HapD
Undiverged	0.0598503752882907	CG	HapD
Focal	0.188422377793531	CG	HapD
Undiverged	0.215707576044523	CG	HapD
Focal	0.143463225704468	CG	HapD
Undiverged	-0.033110472204804	CG	HapD
Focal	0.330150652944058	CG	HapD
Undiverged	0.308983688853173	CG	HapD
Focal	0.168774829613194	CG	HapD
Undiverged	-0.165921732833538	CG	HapD
Focal	0.119908719776191	CG	HapD
Undiverged	0.117622663246947	CG	HapD
Focal	0.0180625890940471	CG	HapD
Undiverged	0.197686660376028	CG	HapD
Focal	0.414299991611172	CG	HapD
Undiverged	0.00746727294844737	CG	HapD
Focal	0.156361254708296	CG	HapD
Undiverged	0.10804211191172	CG	HapD
Focal	0.216134632460471	CG	HapD
Undiverged	-0.0134583433087305	CG	HapD
Focal	0.224485459131165	CG	HapD
Undiverged	0.0310718580613254	CG	HapD
Focal	0.284010815297145	CG	HapD
