Group	Mean	Count
CG_CDS_Focal	0.897664805757126	87
CG_CDS_Undiverged	0.774697516433806	87
CG_Intergenic_Focal	0.992833844269531	344
CG_Intergenic_Undiverged	0.865722252820867	344
CG_Intron_Focal	0.738143306483246	453
CG_Intron_Undiverged	0.800955093802603	453
CG_Promoter_Focal	0.410014009201196	1298
CG_Promoter_Undiverged	0.504805886328715	1298
HZ_CDS_Focal	0.806188241669506	131
HZ_CDS_Undiverged	0.774666940396125	131
HZ_Intergenic_Focal	1.00185667895116	559
HZ_Intergenic_Undiverged	0.790111964811964	559
HZ_Intron_Focal	0.760996321323876	751
HZ_Intron_Undiverged	0.752937859789364	751
HZ_Promoter_Focal	0.530400720917195	1214
HZ_Promoter_Undiverged	0.588277391139577	1214
WGBS_CDS_Focal	0.849055924928272	963
WGBS_CDS_Undiverged	0.825815152107278	963
WGBS_Intergenic_Focal	0.92939471167658	2619
WGBS_Intergenic_Undiverged	0.917243491513579	2619
WGBS_Intron_Focal	0.945930423802959	3625
WGBS_Intron_Undiverged	0.889758806854167	3625
WGBS_Promoter_Focal	0.454848279439071	1185
WGBS_Promoter_Undiverged	0.536202907992247	1185
CG_CDS_Focal	0.737064766796315	87
CG_CDS_Undiverged	0.913234906036101	87
CG_Intergenic_Focal	1.06376561881791	344
CG_Intergenic_Undiverged	0.876308480147308	344
CG_Intron_Focal	0.831163203906266	453
CG_Intron_Undiverged	0.784115996498068	453
CG_Promoter_Focal	0.392325260210755	1298
CG_Promoter_Undiverged	0.478553875671346	1298
HZ_CDS_Focal	0.882594545561035	131
HZ_CDS_Undiverged	0.794984172958028	131
HZ_Intergenic_Focal	1.06482821243091	559
HZ_Intergenic_Undiverged	0.756825627954344	559
HZ_Intron_Focal	0.774173170243028	751
HZ_Intron_Undiverged	0.765173928584222	751
HZ_Promoter_Focal	0.533874621273528	1214
HZ_Promoter_Undiverged	0.583072710645252	1214
WGBS_CDS_Focal	0.908465133923365	963
WGBS_CDS_Undiverged	0.788809764884801	963
WGBS_Intergenic_Focal	0.968007952321749	2619
WGBS_Intergenic_Undiverged	0.924147575426202	2619
WGBS_Intron_Focal	0.97177513774233	3625
WGBS_Intron_Undiverged	0.922711446250549	3625
WGBS_Promoter_Focal	0.471139567394796	1185
WGBS_Promoter_Undiverged	0.526806525518329	1185
CG_CDS_Focal	0.792209071328551	87
CG_CDS_Undiverged	0.923754169882061	87
CG_Intergenic_Focal	1.13099317318723	344
CG_Intergenic_Undiverged	0.9122775043094	344
CG_Intron_Focal	0.710996873748161	453
CG_Intron_Undiverged	0.807041940260987	453
CG_Promoter_Focal	0.415459340096928	1298
CG_Promoter_Undiverged	0.480305774846566	1298
HZ_CDS_Focal	1.0201823263749	131
HZ_CDS_Undiverged	0.765747830555879	131
HZ_Intergenic_Focal	0.997115645825003	559
HZ_Intergenic_Undiverged	0.756487680523063	559
HZ_Intron_Focal	0.715521709406723	751
HZ_Intron_Undiverged	0.748391171639074	751
HZ_Promoter_Focal	0.517125558824737	1214
HZ_Promoter_Undiverged	0.60250342170169	1214
WGBS_CDS_Focal	0.866167560545348	963
WGBS_CDS_Undiverged	0.856664205118709	963
WGBS_Intergenic_Focal	0.93863859802419	2619
WGBS_Intergenic_Undiverged	0.929920667974136	2619
WGBS_Intron_Focal	0.967149990896116	3625
WGBS_Intron_Undiverged	0.918019414525415	3625
WGBS_Promoter_Focal	0.462892323817324	1185
WGBS_Promoter_Undiverged	0.553134347325941	1185
CG_CDS_Focal	0.759239434229172	87
CG_CDS_Undiverged	0.976295765946199	87
CG_Intergenic_Focal	1.03491502471304	344
CG_Intergenic_Undiverged	0.869542494756409	344
CG_Intron_Focal	0.706660021325129	453
CG_Intron_Undiverged	0.79200272706735	453
CG_Promoter_Focal	0.404673634112625	1298
CG_Promoter_Undiverged	0.461835971638084	1298
HZ_CDS_Focal	0.955480366006307	131
HZ_CDS_Undiverged	0.798649968805827	131
HZ_Intergenic_Focal	1.07528356700022	559
HZ_Intergenic_Undiverged	0.76731163538485	559
HZ_Intron_Focal	0.759489672432187	751
HZ_Intron_Undiverged	0.766531460086094	751
HZ_Promoter_Focal	0.529594187558012	1214
HZ_Promoter_Undiverged	0.601142276614011	1214
WGBS_CDS_Focal	0.914988947860939	963
WGBS_CDS_Undiverged	0.829934440411937	963
WGBS_Intergenic_Focal	0.93501335672702	2619
WGBS_Intergenic_Undiverged	0.908666651277003	2619
WGBS_Intron_Focal	0.948067402195844	3625
WGBS_Intron_Undiverged	0.905754540488866	3625
WGBS_Promoter_Focal	0.447875725126488	1185
WGBS_Promoter_Undiverged	0.513075725994292	1185
CG_CDS_Focal	0.919345311348305	87
CG_CDS_Undiverged	0.816793547603652	87
CG_Intergenic_Focal	1.02281675448734	344
CG_Intergenic_Undiverged	0.941065814587003	344
CG_Intron_Focal	0.755463974013167	453
CG_Intron_Undiverged	0.834681158752358	453
CG_Promoter_Focal	0.413226711620716	1298
CG_Promoter_Undiverged	0.480616410341921	1298
HZ_CDS_Focal	0.994308380297684	131
HZ_CDS_Undiverged	0.800969639936491	131
HZ_Intergenic_Focal	1.08287038896147	559
HZ_Intergenic_Undiverged	0.778970218641542	559
