Experiment	Region	Focal_Region	Count	LowerBound	UpperBound	Signif
HyZo.RRBS	Promoter	Focal	1214	0.496750816949316	0.550226362358023	*
HyZo.RRBS	Promoter	Undiverged	1214	0.563625990972904	0.618796232237406	*
HyZo.RRBS	CDS	Focal	131	0.796965695564401	1.04996322288451	n.s.
HyZo.RRBS	CDS	Undiverged	131	0.687921982338232	0.891491559971826	n.s.
HyZo.RRBS	Intron	Focal	751	0.701934500534815	0.789723191393882	n.s.
HyZo.RRBS	Intron	Undiverged	751	0.716353499647114	0.802518849316716	n.s.
HyZo.RRBS	Intergenic	Focal	559	0.978848426168208	1.15892837522184	*
HyZo.RRBS	Intergenic	Undiverged	559	0.723137620758401	0.824782243293742	*
CoGa.RRBS	Promoter	Focal	1298	0.383819150799179	0.436484516765213	*
CoGa.RRBS	Promoter	Undiverged	1298	0.460416528969689	0.52019405686789	*
CoGa.RRBS	CDS	Focal	87	0.643342002163191	0.908974491616408	n.s.
CoGa.RRBS	CDS	Undiverged	87	0.720923752548556	1.04482453793882	n.s.
CoGa.RRBS	Intron	Focal	453	0.653623525873521	0.800619319498312	n.s.
CoGa.RRBS	Intron	Undiverged	453	0.735449140479477	0.873468123901129	n.s.
CoGa.RRBS	Intergenic	Focal	344	0.963410950839324	1.21972662562288	*
CoGa.RRBS	Intergenic	Undiverged	344	0.798414734173536	0.960837033608105	*
CoGa.WGBS	Promoter	Focal	1185	0.430744188368359	0.486418839338476	*
CoGa.WGBS	Promoter	Undiverged	1185	0.51989617521054	0.587171886214808	*
CoGa.WGBS	CDS	Focal	963	0.846615941344084	0.995799689805406	n.s.
CoGa.WGBS	CDS	Undiverged	963	0.798741077223927	0.891290337216411	n.s.
CoGa.WGBS	Intron	Focal	3625	0.902296541823432	0.977158593848096	n.s.
CoGa.WGBS	Intron	Undiverged	3625	0.879130323025308	0.931092077380527	n.s.
CoGa.WGBS	Intergenic	Focal	2619	0.932347023988633	1.02047248143315	n.s.
CoGa.WGBS	Intergenic	Undiverged	2619	0.888444109880803	0.954809116705339	n.s.
