ID	Experiment	Species	Sex	Stage	Tissue	Mean_Coverage	Hybrid_Index	Chr18_Hybrid_Index	Year	Latitude	Longitude	Temperature	Precipitation	Retained	Distance
D_Ko_C22	HZ	C.corone	Male	Chick	Blood	28.04	0	0	2014	47.676	9.198	8.4	152.5	1	-2.02237780131775
D_Ko_C40	HZ	C.corone	Male	Chick	Blood	25.92	0	0	2014	47.676	9.198	8.5	155.7	1	-2.02237780131775
D_Ko_C42	HZ	C.corone	Male	Chick	Blood	24.99	0	0	2014	47.676	9.198	8.5	155.7	1	-2.02237780131775
H_Ba_H02	HZ	Hybrid	Male	Chick	Blood	25.48	0.574193	1	2008	52.497	12.402	6.3	120.2	1	-0.209779938599305
H_Ba_H09	HZ	Hybrid	Male	Chick	Blood	26.33	0.5466904	0.9940465	2008	52.497	12.402	7.4	115.8	1	-0.209779938599305
H_Ba_H19	HZ	Hybrid	Male	Chick	Blood	29.79	0.4055915	0.4246696	2008	52.497	12.402	7.4	115.8	1	-0.209779938599305
H_Ba_H21	HZ	Hybrid	Male	Chick	Blood	32.7	0.5258975	0.977789	2008	52.497	12.402	7.4	115.8	1	-0.209779938599305
H_Hi_C03	HZ	Hybrid	Male	Chick	Blood	29.98	0.4279232	0	2014	50.97	13.124	8.8	77.7	1	-0.300140562486533
H_Ku_H02	HZ	Hybrid	Male	Chick	Blood	36.76	0.7063256	0.9947238	2008	52.493	12.45	6.4	120.2	1	-0.197173972553776
H_Lo_C19	HZ	Hybrid	Male	Chick	Blood	36.48	0.2260644	0	2014	50.859	12.762	7	119.5	1	-0.422155123234343
H_Lo_C20	HZ	Hybrid	Male	Chick	Blood	35.76	0.3307552	0.0409099	2014	50.859	12.762	7	119.5	1	-0.422155123234343
H_Ne_Y03	HZ	Hybrid	Male	Chick	Blood	32.65	0.4295311	0.9903235	2013	51.271	14.327	4.2	141.6	1	0.0923832910712483
H_Ne_Y14	HZ	Hybrid	Male	Chick	Blood	33.68	0.6457692	0.5149768	2013	51.271	14.327	4.3	141.2	1	0.0923832910712483
H_Ne_Y36	HZ	Hybrid	Male	Chick	Blood	30.16	0.6105241	1	2013	51.271	14.327	4.6	141.2	1	0.0923832910712483
H_Ne_Y42	HZ	Hybrid	Male	Chick	Blood	31.87	0.5530574	0.4539496	2013	51.271	14.327	4.6	141.2	1	0.0923832910712483
H_Rb_Y15	HZ	Hybrid	Male	Chick	Blood	27.64	0.4707096	0.4982274	2013	51.213	13.724	5.1	89.8	1	-0.0866409001741894
S_Up_H77	HZ	C.cornix	Male	Chick	Blood	31.86	1	1	2014	59.858	17.643	4.1	103.1	1	2.65499522524955
S_Up_H80	HZ	C.cornix	Male	Chick	Blood	38.41	1	1	2014	59.858	17.643	4.1	103.1	1	2.65499522524955
S_Up_H81	HZ	C.cornix	Male	Chick	Blood	35.04	1	1	2014	59.858	17.643	4.1	103.1	1	2.65499522524955
