Focal_Region	name	m	lo	hi	sd
Focal	Dxy	0.00107318571428571	0.00106978991959383	0.0010765815089776	1.73048103968824e-06
Focal	FST	0.297760987012987	0.297017442529801	0.298504531496173	0.000378906779433027
Focal	FuLiD	-0.676875723202071	-0.681640423658082	-0.67211102274606	0.00242806899328257
Focal	HapD	0.856828858154832	0.856276082577316	0.857381633732348	0.000281691840316625
Focal	TajimaD	-0.584633612551146	-0.588296418242554	-0.580970806859738	0.001866548592054
Undiverged	Dxy	0.00152999545474892	0.00152684145915628	0.00153314945034156	1.60726135339216e-06
Undiverged	FST	0.00972550564544232	0.00965453878202064	0.009796472508864	3.61643805766041e-05
Undiverged	FuLiD	-0.79952408204238	-0.803497828208855	-0.795550335875906	0.00202500239901129
Undiverged	HapD	0.963592726429415	0.963256007930701	0.963929444928128	0.000171590166840416
Undiverged	TajimaD	-0.933368958491189	-0.935729007537204	-0.931008909445173	0.001202669918951
